feasible,instance,model,seed,SRMemOut,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,md5checksum,type,configurationId,configurationSeed,iteration,runId,directory
1,inst-159-704231107,model,0.0,0.0,0.0,55.968,0.0,0.0,43.7,0.0,99283.0,yes,2019-08-20 13:51:28: ../wrapper.py 159 1 704231107 tuning -nbCharacter_middle 17 -nbCharacter_delta 4 -maxDist_middle 5 -maxDist_delta 2 -codeWordLength_middle 23 -codeWordLength_delta 22 -numOfCodeWords_middle 18 -numOfCodeWords_delta 6 -dist_range_middle 5 -dist_range_delta 6 -minDist_middle 23 -minDist_delta 1,fa6a3284d06a0343bed15f2e4e5a6cea,sat + graded,159,704231107,1.0,391.0,Seed5-irace-5000/chosenInstances
1,inst-40-1077642051,model,0.0,0.0,0.0,112.975,0.0,0.0,50.1,0.0,6513.0,yes,2019-08-20 14:03:04: ../wrapper.py 40 1 1077642051 tuning -nbCharacter_middle 31 -nbCharacter_delta 6 -maxDist_middle 2 -maxDist_delta 7 -codeWordLength_middle 3 -codeWordLength_delta 21 -numOfCodeWords_middle 19 -numOfCodeWords_delta 2 -dist_range_middle 5 -dist_range_delta 25 -minDist_middle 13 -minDist_delta 1,dc320560cd66e11b4941a9330c3748e0,sat + graded,40,1077642051,1.0,394.0,Seed5-irace-5000/chosenInstances
1,inst-94-1077642051,model,0.0,0.0,0.0,19.814,0.0,0.0,11.8,0.0,661.0,yes,2019-08-20 14:03:04: ../wrapper.py 94 1 1077642051 tuning -nbCharacter_middle 13 -nbCharacter_delta 4 -maxDist_middle 12 -maxDist_delta 10 -codeWordLength_middle 34 -codeWordLength_delta 14 -numOfCodeWords_middle 2 -numOfCodeWords_delta 21 -dist_range_middle 12 -dist_range_delta 19 -minDist_middle 2 -minDist_delta 1,d2e1e008db9307503bad70bf010dca35,sat + graded,94,1077642051,1.0,397.0,Seed5-irace-5000/chosenInstances
1,inst-111-1077642051,model,0.0,0.0,0.0,244.549,0.0,0.0,156.5,0.0,58238.0,yes,2019-08-20 14:03:04: ../wrapper.py 111 1 1077642051 tuning -nbCharacter_middle 43 -nbCharacter_delta 1 -maxDist_middle 2 -maxDist_delta 1 -codeWordLength_middle 21 -codeWordLength_delta 4 -numOfCodeWords_middle 11 -numOfCodeWords_delta 1 -dist_range_middle 1 -dist_range_delta 23 -minDist_middle 16 -minDist_delta 13,b8e75d6a4ca1abe039d21fb8f6dc9a36,sat + graded,111,1077642051,1.0,398.0,Seed5-irace-5000/chosenInstances
1,inst-159-1077642051,model,0.0,0.0,0.0,40.245,0.0,0.0,16.5,0.0,18274.0,yes,2019-08-20 14:03:04: ../wrapper.py 159 1 1077642051 tuning -nbCharacter_middle 17 -nbCharacter_delta 4 -maxDist_middle 5 -maxDist_delta 2 -codeWordLength_middle 23 -codeWordLength_delta 22 -numOfCodeWords_middle 18 -numOfCodeWords_delta 6 -dist_range_middle 5 -dist_range_delta 6 -minDist_middle 23 -minDist_delta 1,5b93d10aa89ecca05e16cfabe9d8bbf5,sat + graded,159,1077642051,1.0,400.0,Seed5-irace-5000/chosenInstances
1,inst-159-2111368897,model,0.0,0.0,0.0,165.74099999999999,0.0,0.0,98.1,0.0,74086.0,yes,2019-08-20 14:12:07: ../wrapper.py 159 1 2111368897 tuning -nbCharacter_middle 17 -nbCharacter_delta 4 -maxDist_middle 5 -maxDist_delta 2 -codeWordLength_middle 23 -codeWordLength_delta 22 -numOfCodeWords_middle 18 -numOfCodeWords_delta 6 -dist_range_middle 5 -dist_range_delta 6 -minDist_middle 23 -minDist_delta 1,c9e3abc812496363da8263798695299c,sat + graded,159,2111368897,2.0,401.0,Seed5-irace-5000/chosenInstances
1,inst-94-2111368897,model,0.0,0.0,0.0,87.824,0.0,0.0,24.4,0.0,4594.0,yes,2019-08-20 14:12:07: ../wrapper.py 94 1 2111368897 tuning -nbCharacter_middle 13 -nbCharacter_delta 4 -maxDist_middle 12 -maxDist_delta 10 -codeWordLength_middle 34 -codeWordLength_delta 14 -numOfCodeWords_middle 2 -numOfCodeWords_delta 21 -dist_range_middle 12 -dist_range_delta 19 -minDist_middle 2 -minDist_delta 1,8471417d14e80cb050ed697e3b393b6f,sat + graded,94,2111368897,2.0,402.0,Seed5-irace-5000/chosenInstances
1,inst-111-2111368897,model,0.0,0.0,0.0,280.343,0.0,0.0,165.0,0.0,16064.0,yes,2019-08-20 14:12:07: ../wrapper.py 111 1 2111368897 tuning -nbCharacter_middle 43 -nbCharacter_delta 1 -maxDist_middle 2 -maxDist_delta 1 -codeWordLength_middle 21 -codeWordLength_delta 4 -numOfCodeWords_middle 11 -numOfCodeWords_delta 1 -dist_range_middle 1 -dist_range_delta 23 -minDist_middle 16 -minDist_delta 13,a0fc0434f52532de112e13d85d2927af,sat + graded,111,2111368897,2.0,404.0,Seed5-irace-5000/chosenInstances
1,inst-33-2111368897,model,0.0,0.0,0.0,69.851,0.0,0.0,15.7,0.0,1326.0,yes,2019-08-20 14:12:08: ../wrapper.py 33 1 2111368897 tuning -nbCharacter_middle 7 -nbCharacter_delta 3 -maxDist_middle 3 -maxDist_delta 1 -codeWordLength_middle 10 -codeWordLength_delta 8 -numOfCodeWords_middle 17 -numOfCodeWords_delta 14 -dist_range_middle 5 -dist_range_delta 24 -minDist_middle 2 -minDist_delta 1,8a6104bf4d124526b991fc118af2a88d,sat + graded,33,2111368897,2.0,405.0,Seed5-irace-5000/chosenInstances
1,inst-175-2111368897,model,0.0,0.0,0.0,168.972,0.0,0.0,61.3,0.0,2079.0,yes,2019-08-20 14:12:07: ../wrapper.py 175 1 2111368897 tuning -nbCharacter_middle 19 -nbCharacter_delta 1 -maxDist_middle 29 -maxDist_delta 2 -codeWordLength_middle 4 -codeWordLength_delta 1 -numOfCodeWords_middle 41 -numOfCodeWords_delta 12 -dist_range_middle 7 -dist_range_delta 12 -minDist_middle 2 -minDist_delta 7,845ed79ada9d94ce6943486fa71e2378,sat + graded,175,2111368897,2.0,414.0,Seed5-irace-5000/chosenInstances
