Unnamed: 0,Instance,TotalTime,Satisfiable,Killed,conjure_RealTime,conjure_CPUTime,conjure_CPUUserTime,conjure_CPUSystemTime,conjure_CPUUsage,savilerow_RealTime,savilerow_CPUTime,savilerow_CPUUserTime,savilerow_CPUSystemTime,savilerow_CPUUsage,chuffed_RealTime,chuffed_CPUTime,chuffed_CPUUserTime,chuffed_CPUSystemTime,chuffed_CPUUsage,solver_satisfiable,solver_nodes,solver_failures,solver_restarts,solver_variables,solver_intVars,solver_boolVariables,solver_propagators,solver_propagations,solver_peakDepth,solver_nogoods,solver_backjumps,solver_peakMem,solver_time,solver_initTime,solver_solveTime,solver_objective,solver_baseMem,solver_trailMem,solver_randomSeed
80,5f7a2f2bb2edcea0c2ebe68fe584447d.param,285.193865,True,False,0.442765,0.379239,0.363354,0.015885,85.6525,199.997,214.888,212.157,2.73162,107.446,84.7541,84.327,84.1667,0.160315,99.4961,True,752579.0,11823.0,44.0,392843.0,45080.0,347761.0,4696.0,18932112.0,2783.0,11823.0,675648.0,0.0,84.549,1.328,83.221,-1.0,0.0,1.41,1474081920.0
81,cf0c6b54b59e194a1128ff90123e507c.param,203.92920300000003,True,False,0.483703,0.399401,0.357462,0.041939,82.5715,116.409,130.556,128.262,2.29375,112.153,87.0365,86.6173,86.4502,0.167171,99.5185,True,535025.0,14107.0,51.0,337665.0,38610.0,299053.0,3618.0,14596995.0,3696.0,14107.0,462622.0,0.0,86.851,1.15,85.701,-1.0,0.0,1.41,1909228284.0
82,56f2f537b0aaada851511d2cf74f74e1.param,60.175283,True,False,0.513083,0.451589,0.42453,0.027059,88.0148,35.3456,47.636,46.2455,1.39051,134.772,24.3166,24.1458,23.9825,0.163265,99.2974,True,63368.0,12878.0,47.0,213603.0,24480.0,189121.0,2500.0,9600778.0,1245.0,12878.0,17223.0,0.0,24.171,0.795,23.376,-1.0,0.0,0.63,132362068.0
83,b2dbb8113790289dc253994b9809687c.param,135.521092,True,False,0.430992,0.38473,0.35974,0.02499,89.2662,53.9791,67.0949,65.6621,1.43279,124.298,81.111,80.741,80.6345,0.106532,99.5439,True,653507.0,10292.0,36.0,200654.0,23273.0,177379.0,3217.0,15237751.0,1713.0,10292.0,609269.0,0.0,81.0,0.664,80.336,-1.0,0.0,0.63,1444739013.0
84,1e1e8db665ae1e882b6d152361fc9fe3.param,21.512769,True,False,0.206099,0.50867,0.415601,0.093069,246.809,1.22777,5.97324,5.69284,0.280403,486.511,20.0789,19.9161,19.8445,0.071552,99.1891,True,196031.0,130376.0,311.0,7942.0,1001.0,6939.0,1615.0,31755121.0,69.0,130376.0,56095.0,0.0,20.028,0.046,19.982,-1.0,0.0,0.05,19371032.0
85,fca04b0d27ac181d7f625403c97edc33.param,158.08972,True,False,0.49432,0.441587,0.351802,0.089785,89.3322,103.65,115.555,113.415,2.13977,111.485,53.9454,53.6853,53.5609,0.124385,99.5179,True,528665.0,10804.0,39.0,304454.0,34937.0,269515.0,3661.0,13248640.0,2879.0,10804.0,478795.0,0.0,53.76,1.009,52.751,-1.0,0.0,0.94,716030871.0
86,428b1f6a94c82912956c3a082d501ec7.param,76.832523,True,False,0.489083,0.454911,0.363445,0.091466,93.013,68.0645,80.0987,78.3774,1.72135,117.681,8.27894,8.23796,8.15136,0.086603,99.505,True,44710.0,1900.0,10.0,242823.0,28044.0,214777.0,3500.0,2031220.0,1509.0,1900.0,29619.0,0.0,8.142,0.806,7.336,-1.0,0.0,0.94,750180309.0
87,2bdeaecc4c89e7597067b42689f8ec8f.param,33.93073699999999,True,False,0.494137,0.436011,0.376961,0.05905,88.2368,20.749,33.6748,32.4995,1.17534,162.296,12.6876,12.6821,12.6244,0.057679,99.9564,True,75771.0,5815.0,26.0,126411.0,14904.0,111505.0,2812.0,4014201.0,1305.0,5815.0,48406.0,0.0,12.669,0.704,11.965,-1.0,0.0,0.42,1457301386.0
88,4428e055ebbf633b0fbd16e638bdeafa.param,47.746573,True,False,0.481173,0.433506,0.374358,0.059148,90.0936,17.848,28.6713,27.4881,1.18318,160.641,29.4174,29.2449,29.1792,0.065698,99.4138,True,394281.0,11402.0,42.0,129853.0,15190.0,114661.0,2510.0,8387269.0,2252.0,11402.0,351643.0,0.0,29.341,0.567,28.774,-1.0,0.0,0.42,19371032.0
89,164719f8e72cd626096e4253ec504483.param,97.531662,True,False,0.623462,0.669936,0.648187,0.021749,107.454,46.071,57.8267,56.3128,1.51386,125.516,50.8372,50.5298,50.4153,0.114529,99.3952,True,539206.0,28255.0,90.0,188049.0,21762.0,166285.0,2866.0,14541103.0,1994.0,28255.0,433045.0,0.0,50.734,0.58,50.154,-1.0,0.0,0.63,1724245322.0
